method,dim,function,instance,repetition,eval,best_feasible
qLogEI,2,2,2,2,3,-714.3323717964231
qLogEI,2,2,2,2,4,-714.3323717964231
qLogEI,2,2,2,2,5,-714.3323717964231
qLogEI,2,2,2,2,6,-714.3323717964231
qLogEI,2,2,2,2,7,-714.3323717964231
qLogEI,2,2,2,2,8,-714.3323717964231
qLogEI,2,2,2,2,9,-714.3323717964231
qLogEI,2,2,2,2,10,-714.3323717964231
qLogEI,2,2,2,2,11,-714.3323717964231
qLogEI,2,2,2,2,12,-835.5423708720144
qLogEI,2,2,2,2,13,-835.5423708720144
qLogEI,2,2,2,2,14,-835.5423708720144
qLogEI,2,2,2,2,15,-835.5423708720144
qLogEI,2,2,2,2,16,-837.9089715034917
qLogEI,2,2,2,2,17,-837.9089715034917
qLogEI,2,2,2,2,18,-837.9089715034917
qLogEI,2,2,2,2,19,-837.9089715034917
qLogEI,2,2,2,2,20,-837.9089715034917
RL,2,2,2,2,1,-714.3323717964231
RL,2,2,2,2,2,-714.3323717964231
RL,2,2,2,2,3,-714.3323717964231
RL,2,2,2,2,4,-714.3323717964231
RL,2,2,2,2,5,-714.3323717964231
RL,2,2,2,2,6,-714.3323717964231
RL,2,2,2,2,7,-714.3323717964231
RL,2,2,2,2,8,-714.3323717964231
RL,2,2,2,2,9,-714.3323717964231
RL,2,2,2,2,10,-714.3323717964231
RL,2,2,2,2,11,-714.3323717964231
RL,2,2,2,2,12,-714.3323717964231
RL,2,2,2,2,13,-714.3323717964231
RL,2,2,2,2,14,-714.3323717964231
RL,2,2,2,2,15,-714.3323717964231
RL,2,2,2,2,16,-714.3323717964231
RL,2,2,2,2,17,-714.3323717964231
RL,2,2,2,2,18,-714.3323717964231
RL,2,2,2,2,19,-714.3323717964231
RL,2,2,2,2,20,-714.3323717964231
Random,2,2,2,3,1,inf
Random,2,2,2,3,2,inf
Random,2,2,2,3,3,inf
Random,2,2,2,3,4,inf
Random,2,2,2,3,5,inf
Random,2,2,2,3,6,inf
Random,2,2,2,3,7,inf
Random,2,2,2,3,8,inf
Random,2,2,2,3,9,inf
Random,2,2,2,3,10,inf
Random,2,2,2,3,11,inf
Random,2,2,2,3,12,inf
Random,2,2,2,3,13,inf
Random,2,2,2,3,14,inf
Random,2,2,2,3,15,inf
Random,2,2,2,3,16,inf
Random,2,2,2,3,17,inf
Random,2,2,2,3,18,inf
Random,2,2,2,3,19,inf
Random,2,2,2,3,20,inf
qLogEI,2,2,2,3,1,inf
qLogEI,2,2,2,3,2,inf
qLogEI,2,2,2,3,3,inf
qLogEI,2,2,2,3,4,inf
qLogEI,2,2,2,3,5,inf
qLogEI,2,2,2,3,6,inf
qLogEI,2,2,2,3,7,inf
qLogEI,2,2,2,3,8,inf
qLogEI,2,2,2,3,9,inf
qLogEI,2,2,2,3,10,inf
qLogEI,2,2,2,3,11,inf
qLogEI,2,2,2,3,12,inf
qLogEI,2,2,2,3,13,inf
qLogEI,2,2,2,3,14,inf
qLogEI,2,2,2,3,15,inf
qLogEI,2,2,2,3,16,inf
qLogEI,2,2,2,3,17,inf
qLogEI,2,2,2,3,18,inf
qLogEI,2,2,2,3,19,inf
qLogEI,2,2,2,3,20,inf
RL,2,2,2,3,1,inf
RL,2,2,2,3,2,inf
RL,2,2,2,3,3,inf
RL,2,2,2,3,4,inf
RL,2,2,2,3,5,inf
RL,2,2,2,3,6,inf
RL,2,2,2,3,7,inf
RL,2,2,2,3,8,inf
RL,2,2,2,3,9,inf
RL,2,2,2,3,10,inf
RL,2,2,2,3,11,inf
RL,2,2,2,3,12,inf
RL,2,2,2,3,13,inf
RL,2,2,2,3,14,inf
RL,2,2,2,3,15,inf
RL,2,2,2,3,16,inf
RL,2,2,2,3,17,inf
RL,2,2,2,3,18,inf
RL,2,2,2,3,19,inf
RL,2,2,2,3,20,inf
Random,2,2,2,4,1,inf
Random,2,2,2,4,2,inf
Random,2,2,2,4,3,inf
Random,2,2,2,4,4,inf
Random,2,2,2,4,5,inf
Random,2,2,2,4,6,inf
Random,2,2,2,4,7,inf
