method,dim,function,instance,repetition,eval,best_feasible
Random,2,2,1,3,10,-1575.4032984535124
Random,2,2,1,3,11,-1575.4032984535124
Random,2,2,1,3,12,-1575.4032984535124
Random,2,2,1,3,13,-1732.6495003331793
Random,2,2,1,3,14,-1732.6495003331793
Random,2,2,1,3,15,-1732.6495003331793
Random,2,2,1,3,16,-1732.6495003331793
Random,2,2,1,3,17,-1817.8415078605685
Random,2,2,1,3,18,-1817.8415078605685
Random,2,2,1,3,19,-1817.8415078605685
Random,2,2,1,3,20,-1817.8415078605685
qLogEI,2,2,1,3,1,inf
qLogEI,2,2,1,3,2,-1304.8001685975307
qLogEI,2,2,1,3,3,-1304.8001685975307
qLogEI,2,2,1,3,4,-1304.8001685975307
qLogEI,2,2,1,3,5,-1304.8001685975307
qLogEI,2,2,1,3,6,-1890.44189681227
qLogEI,2,2,1,3,7,-1908.6995807197397
qLogEI,2,2,1,3,8,-1960.4593533801135
qLogEI,2,2,1,3,9,-1993.4875954432523
qLogEI,2,2,1,3,10,-1993.4875954432523
qLogEI,2,2,1,3,11,-2015.4104676849233
qLogEI,2,2,1,3,12,-2015.4104676849233
qLogEI,2,2,1,3,13,-2015.4104676849233
qLogEI,2,2,1,3,14,-2015.4104676849233
qLogEI,2,2,1,3,15,-2015.4104676849233
qLogEI,2,2,1,3,16,-2015.4104676849233
qLogEI,2,2,1,3,17,-2015.4104676849233
qLogEI,2,2,1,3,18,-2015.4104676849233
qLogEI,2,2,1,3,19,-2015.4104676849233
qLogEI,2,2,1,3,20,-2015.4104676849233
RL_Full,2,2,1,3,1,inf
RL_Full,2,2,1,3,2,-1304.8001685975307
RL_Full,2,2,1,3,3,-1304.8001685975307
RL_Full,2,2,1,3,4,-1304.8001685975307
RL_Full,2,2,1,3,5,-1304.8001685975307
RL_Full,2,2,1,3,6,-1304.8001685975307
RL_Full,2,2,1,3,7,-1304.8001685975307
RL_Full,2,2,1,3,8,-1304.8001685975307
RL_Full,2,2,1,3,9,-1304.8001685975307
RL_Full,2,2,1,3,10,-1304.8001685975307
RL_Full,2,2,1,3,11,-1304.8001685975307
RL_Full,2,2,1,3,12,-1304.8001685975307
RL_Full,2,2,1,3,13,-1304.8001685975307
RL_Full,2,2,1,3,14,-1304.8001685975307
RL_Full,2,2,1,3,15,-1304.8001685975307
RL_Full,2,2,1,3,16,-1304.8001685975307
RL_Full,2,2,1,3,17,-1304.8001685975307
RL_Full,2,2,1,3,18,-1304.8001685975307
RL_Full,2,2,1,3,19,-1304.8001685975307
RL_Full,2,2,1,3,20,-1304.8001685975307
Random,2,2,1,4,1,-1424.8122622011065
Random,2,2,1,4,2,-1424.8122622011065
Random,2,2,1,4,3,-1424.8122622011065
Random,2,2,1,4,4,-1424.8122622011065
Random,2,2,1,4,5,-1424.8122622011065
Random,2,2,1,4,6,-1582.7335723488275
Random,2,2,1,4,7,-1801.4902191691679
Random,2,2,1,4,8,-1929.9078613679603
Random,2,2,1,4,9,-1929.9078613679603
Random,2,2,1,4,10,-1929.9078613679603
Random,2,2,1,4,11,-1929.9078613679603
Random,2,2,1,4,12,-1929.9078613679603
Random,2,2,1,4,13,-1929.9078613679603
Random,2,2,1,4,14,-1979.2281983453768
Random,2,2,1,4,15,-1979.2281983453768
Random,2,2,1,4,16,-1979.2281983453768
Random,2,2,1,4,17,-1979.2281983453768
Random,2,2,1,4,18,-1979.2281983453768
Random,2,2,1,4,19,-1979.2281983453768
Random,2,2,1,4,20,-1979.2281983453768
qLogEI,2,2,1,4,1,-1424.8122622011065
qLogEI,2,2,1,4,2,-1424.8122622011065
qLogEI,2,2,1,4,3,-1424.8122622011065
qLogEI,2,2,1,4,4,-1424.8122622011065
qLogEI,2,2,1,4,5,-1424.8122622011065
qLogEI,2,2,1,4,6,-1424.8122622011065
qLogEI,2,2,1,4,7,-1424.8122622011065
qLogEI,2,2,1,4,8,-1424.8122622011065
qLogEI,2,2,1,4,9,-1687.5430581899882
qLogEI,2,2,1,4,10,-1819.549794732068
qLogEI,2,2,1,4,11,-1915.4154609770785
qLogEI,2,2,1,4,12,-1915.4154609770785
qLogEI,2,2,1,4,13,-1935.523389887626
qLogEI,2,2,1,4,14,-1974.9845824197855
qLogEI,2,2,1,4,15,-1995.9087869100313
qLogEI,2,2,1,4,16,-1995.9087869100313
qLogEI,2,2,1,4,17,-1995.9087869100313
qLogEI,2,2,1,4,18,-1995.9087869100313
qLogEI,2,2,1,4,19,-2018.1688953175285
qLogEI,2,2,1,4,20,-2018.1688953175285
RL_Full,2,2,1,4,1,-1424.8122622011065
RL_Full,2,2,1,4,2,-1424.8122622011065
RL_Full,2,2,1,4,3,-1424.8122622011065
RL_Full,2,2,1,4,4,-1424.8122622011065
RL_Full,2,2,1,4,5,-1424.8122622011065
RL_Full,2,2,1,4,6,-1424.8122622011065
RL_Full,2,2,1,4,7,-1424.8122622011065
RL_Full,2,2,1,4,8,-1424.8122622011065
RL_Full,2,2,1,4,9,-1424.8122622011065
RL_Full,2,2,1,4,10,-1424.8122622011065
RL_Full,2,2,1,4,11,-1424.8122622011065
RL_Full,2,2,1,4,12,-1424.8122622011065
RL_Full,2,2,1,4,13,-1424.8122622011065
RL_Full,2,2,1,4,14,-1424.8122622011065
RL_Full,2,2,1,4,15,-1424.8122622011065
RL_Full,2,2,1,4,16,-1424.8122622011065
RL_Full,2,2,1,4,17,-1424.8122622011065
RL_Full,2,2,1,4,18,-1424.8122622011065
RL_Full,2,2,1,4,19,-1424.8122622011065
RL_Full,2,2,1,4,20,-1424.8122622011065
Random,2,2,2,0,1,inf
Random,2,2,2,0,2,inf
Random,2,2,2,0,3,inf
Random,2,2,2,0,4,inf
Random,2,2,2,0,5,inf
Random,2,2,2,0,6,inf
Random,2,2,2,0,7,inf
Random,2,2,2,0,8,inf
Random,2,2,2,0,9,inf
Random,2,2,2,0,10,inf
Random,2,2,2,0,11,inf
Random,2,2,2,0,12,inf
Random,2,2,2,0,13,inf
Random,2,2,2,0,14,inf
Random,2,2,2,0,15,inf
Random,2,2,2,0,16,inf
Random,2,2,2,0,17,inf
Random,2,2,2,0,18,inf
Random,2,2,2,0,19,inf
Random,2,2,2,0,20,inf
qLogEI,2,2,2,0,1,inf
qLogEI,2,2,2,0,2,inf
qLogEI,2,2,2,0,3,inf
qLogEI,2,2,2,0,4,inf
qLogEI,2,2,2,0,5,inf
qLogEI,2,2,2,0,6,inf
qLogEI,2,2,2,0,7,inf
qLogEI,2,2,2,0,8,inf
qLogEI,2,2,2,0,9,inf
qLogEI,2,2,2,0,10,inf
qLogEI,2,2,2,0,11,inf
qLogEI,2,2,2,0,12,inf
qLogEI,2,2,2,0,13,inf
qLogEI,2,2,2,0,14,inf
qLogEI,2,2,2,0,15,inf
