method,dim,function,instance,repetition,final_best_feasible
Random,2,54,2,2,inf
qLogEI,2,54,2,2,479.68231740285535
RL_Enhanced,2,54,2,2,inf
Random,2,54,2,3,inf
qLogEI,2,54,2,3,inf
RL_Enhanced,2,54,2,3,inf
Random,2,54,2,4,inf
qLogEI,2,54,2,4,inf
RL_Enhanced,2,54,2,4,inf
Random,2,54,3,0,inf
qLogEI,2,54,3,0,inf
RL_Enhanced,2,54,3,0,inf
Random,2,54,3,1,inf
qLogEI,2,54,3,1,inf
RL_Enhanced,2,54,3,1,inf
Random,2,54,3,2,inf
qLogEI,2,54,3,2,-2657.4072317322252
RL_Enhanced,2,54,3,2,inf
Random,2,54,3,3,inf
qLogEI,2,54,3,3,-2874.8521890109205
RL_Enhanced,2,54,3,3,inf
Random,2,54,3,4,inf
qLogEI,2,54,3,4,inf
RL_Enhanced,2,54,3,4,inf
Random,10,2,1,0,-872.495448054011
qLogEI,10,2,1,0,-1643.1989333243082
RL_Enhanced,10,2,1,0,-330.99581010627134
Random,10,2,1,1,-917.4980731074888
qLogEI,10,2,1,1,-1610.365634673169
RL_Enhanced,10,2,1,1,-63.894729067501714
Random,10,2,1,2,-1317.7090610685175
qLogEI,10,2,1,2,-1705.9264319024242
RL_Enhanced,10,2,1,2,-990.7343163328561
Random,10,2,1,3,-465.66309781992743
qLogEI,10,2,1,3,-1706.5687828977188
RL_Enhanced,10,2,1,3,-465.66309781992743
Random,10,2,1,4,-570.1492847065092
qLogEI,10,2,1,4,-1674.9572775810793
RL_Enhanced,10,2,1,4,-570.1492847065092
Random,10,2,2,0,643.2130342099058
qLogEI,10,2,2,0,inf
RL_Enhanced,10,2,2,0,inf
Random,10,2,2,1,inf
qLogEI,10,2,2,1,96.4131971158912
RL_Enhanced,10,2,2,1,inf
Random,10,2,2,2,576.919230566215
qLogEI,10,2,2,2,-292.175142933366
RL_Enhanced,10,2,2,2,790.4101432023654
Random,10,2,2,3,inf
qLogEI,10,2,2,3,-94.42469393180559
RL_Enhanced,10,2,2,3,inf
Random,10,2,2,4,586.1677105463281
qLogEI,10,2,2,4,-313.12417917443065
RL_Enhanced,10,2,2,4,586.1677105463281
Random,10,2,3,0,1709.547164083051
qLogEI,10,2,3,0,1709.547164083051
RL_Enhanced,10,2,3,0,1709.547164083051
Random,10,2,3,1,1004.8580745790458
qLogEI,10,2,3,1,inf
RL_Enhanced,10,2,3,1,inf
Random,10,2,3,2,955.8440563944829
qLogEI,10,2,3,2,2119.144865334256
RL_Enhanced,10,2,3,2,2119.144865334256
Random,10,2,3,3,1298.1957277792453
qLogEI,10,2,3,3,2012.444647898551
RL_Enhanced,10,2,3,3,2012.444647898551
Random,10,2,3,4,1135.7255933270808
qLogEI,10,2,3,4,inf
RL_Enhanced,10,2,3,4,inf
Random,10,4,1,0,inf
qLogEI,10,4,1,0,inf
RL_Enhanced,10,4,1,0,inf
Random,10,4,1,1,inf
qLogEI,10,4,1,1,inf
RL_Enhanced,10,4,1,1,inf
Random,10,4,1,2,inf
qLogEI,10,4,1,2,inf
RL_Enhanced,10,4,1,2,inf
Random,10,4,1,3,inf
qLogEI,10,4,1,3,inf
RL_Enhanced,10,4,1,3,inf
Random,10,4,1,4,inf
qLogEI,10,4,1,4,inf
RL_Enhanced,10,4,1,4,inf
Random,10,4,2,0,inf
qLogEI,10,4,2,0,inf
RL_Enhanced,10,4,2,0,inf
Random,10,4,2,1,inf
qLogEI,10,4,2,1,inf
RL_Enhanced,10,4,2,1,inf
Random,10,4,2,2,inf
qLogEI,10,4,2,2,inf
RL_Enhanced,10,4,2,2,inf
Random,10,4,2,3,inf
qLogEI,10,4,2,3,inf
RL_Enhanced,10,4,2,3,inf
Random,10,4,2,4,inf
qLogEI,10,4,2,4,inf
RL_Enhanced,10,4,2,4,inf
Random,10,4,3,0,inf
qLogEI,10,4,3,0,inf
RL_Enhanced,10,4,3,0,inf
Random,10,4,3,1,inf
qLogEI,10,4,3,1,inf
RL_Enhanced,10,4,3,1,inf
Random,10,4,3,2,inf
qLogEI,10,4,3,2,inf
RL_Enhanced,10,4,3,2,inf
Random,10,4,3,3,inf
qLogEI,10,4,3,3,inf
RL_Enhanced,10,4,3,3,inf
Random,10,4,3,4,inf
qLogEI,10,4,3,4,inf
RL_Enhanced,10,4,3,4,inf
Random,10,6,1,0,inf
qLogEI,10,6,1,0,inf
RL_Enhanced,10,6,1,0,inf
Random,10,6,1,1,inf
qLogEI,10,6,1,1,inf
RL_Enhanced,10,6,1,1,inf
Random,10,6,1,2,inf
qLogEI,10,6,1,2,inf
RL_Enhanced,10,6,1,2,inf
Random,10,6,1,3,inf
qLogEI,10,6,1,3,inf
RL_Enhanced,10,6,1,3,inf
Random,10,6,1,4,inf
qLogEI,10,6,1,4,inf
RL_Enhanced,10,6,1,4,inf
Random,10,6,2,0,inf
qLogEI,10,6,2,0,inf
RL_Enhanced,10,6,2,0,inf
Random,10,6,2,1,inf
qLogEI,10,6,2,1,inf
RL_Enhanced,10,6,2,1,inf
Random,10,6,2,2,inf
qLogEI,10,6,2,2,inf
RL_Enhanced,10,6,2,2,inf
Random,10,6,2,3,inf
qLogEI,10,6,2,3,inf
RL_Enhanced,10,6,2,3,inf
Random,10,6,2,4,inf
qLogEI,10,6,2,4,inf
RL_Enhanced,10,6,2,4,inf
Random,10,6,3,0,inf
qLogEI,10,6,3,0,inf
RL_Enhanced,10,6,3,0,inf
Random,10,6,3,1,inf
qLogEI,10,6,3,1,inf
RL_Enhanced,10,6,3,1,inf
Random,10,6,3,2,inf
qLogEI,10,6,3,2,inf
RL_Enhanced,10,6,3,2,inf
Random,10,6,3,3,inf
qLogEI,10,6,3,3,inf
RL_Enhanced,10,6,3,3,inf
Random,10,6,3,4,inf
qLogEI,10,6,3,4,inf
RL_Enhanced,10,6,3,4,inf
Random,10,50,1,0,2645.9799228791558
qLogEI,10,50,1,0,1787.6320023936162
RL_Enhanced,10,50,1,0,6457.815577405512
Random,10,50,1,1,2429.498432639624
qLogEI,10,50,1,1,1673.873346206034
RL_Enhanced,10,50,1,1,2429.498432639624
Random,10,50,1,2,2803.1066083229593
qLogEI,10,50,1,2,1570.0931526334293
RL_Enhanced,10,50,1,2,2803.1066083229593
Random,10,50,1,3,2385.637851732893
qLogEI,10,50,1,3,1600.110522980797
RL_Enhanced,10,50,1,3,4527.0659041642575
Random,10,50,1,4,2138.924057672955
qLogEI,10,50,1,4,2138.924057672955
RL_Enhanced,10,50,1,4,2138.924057672955
Random,10,50,2,0,11410.307269813806
qLogEI,10,50,2,0,10394.063495855105
