method,dim,function,instance,repetition,final_best_feasible
Random,2,54,3,1,inf
qLogEI,2,54,3,1,-2920.44314283592
RL_Full,2,54,3,1,inf
Random,2,54,3,2,inf
qLogEI,2,54,3,2,inf
RL_Full,2,54,3,2,inf
Random,2,54,3,3,inf
qLogEI,2,54,3,3,-2832.857877650968
RL_Full,2,54,3,3,inf
Random,2,54,3,4,inf
qLogEI,2,54,3,4,inf
RL_Full,2,54,3,4,inf
Random,10,2,1,0,-872.495448054011
qLogEI,10,2,1,0,-1535.3176699373319
RL_Full,10,2,1,0,-330.99581010627134
Random,10,2,1,1,-917.4980731074888
qLogEI,10,2,1,1,-1467.0728829351733
RL_Full,10,2,1,1,inf
Random,10,2,1,2,-1317.7090610685175
qLogEI,10,2,1,2,-1704.7506856383625
RL_Full,10,2,1,2,-990.7343163328561
Random,10,2,1,3,-465.66309781992743
qLogEI,10,2,1,3,-1445.8104436713506
RL_Full,10,2,1,3,-465.66309781992743
Random,10,2,1,4,-570.1492847065092
qLogEI,10,2,1,4,-1688.9654110593472
RL_Full,10,2,1,4,-570.1492847065092
Random,10,2,2,0,643.2130342099058
qLogEI,10,2,2,0,inf
RL_Full,10,2,2,0,inf
Random,10,2,2,1,inf
qLogEI,10,2,2,1,-265.0490305231415
RL_Full,10,2,2,1,inf
Random,10,2,2,2,576.919230566215
qLogEI,10,2,2,2,-232.54395102537444
RL_Full,10,2,2,2,790.4101432023654
Random,10,2,2,3,inf
qLogEI,10,2,2,3,-28.15482909687205
RL_Full,10,2,2,3,inf
Random,10,2,2,4,586.1677105463281
qLogEI,10,2,2,4,-176.89965937089653
RL_Full,10,2,2,4,586.1677105463281
Random,10,2,3,0,1709.547164083051
qLogEI,10,2,3,0,1709.547164083051
RL_Full,10,2,3,0,1709.547164083051
Random,10,2,3,1,1004.8580745790458
qLogEI,10,2,3,1,inf
RL_Full,10,2,3,1,inf
Random,10,2,3,2,955.8440563944829
qLogEI,10,2,3,2,2119.144865334256
RL_Full,10,2,3,2,2119.144865334256
Random,10,2,3,3,1298.1957277792453
qLogEI,10,2,3,3,2012.444647898551
RL_Full,10,2,3,3,2012.444647898551
Random,10,2,3,4,1135.7255933270808
qLogEI,10,2,3,4,inf
RL_Full,10,2,3,4,inf
Random,10,4,1,0,inf
qLogEI,10,4,1,0,inf
RL_Full,10,4,1,0,inf
Random,10,4,1,1,inf
qLogEI,10,4,1,1,inf
RL_Full,10,4,1,1,inf
Random,10,4,1,2,inf
qLogEI,10,4,1,2,inf
RL_Full,10,4,1,2,inf
Random,10,4,1,3,inf
qLogEI,10,4,1,3,inf
RL_Full,10,4,1,3,inf
Random,10,4,1,4,inf
qLogEI,10,4,1,4,inf
RL_Full,10,4,1,4,inf
Random,10,4,2,0,inf
qLogEI,10,4,2,0,inf
