method,dim,function,instance,repetition,final_best_feasible
qLogEI,10,50,3,4,1798.0102957347667
RL,10,50,3,4,4810.664117765014
Random,10,52,1,0,inf
qLogEI,10,52,1,0,inf
RL,10,52,1,0,inf
Random,10,52,1,1,inf
qLogEI,10,52,1,1,inf
RL,10,52,1,1,inf
Random,10,52,1,2,inf
qLogEI,10,52,1,2,inf
RL,10,52,1,2,inf
Random,10,52,1,3,inf
qLogEI,10,52,1,3,inf
RL,10,52,1,3,inf
Random,10,52,1,4,inf
qLogEI,10,52,1,4,inf
RL,10,52,1,4,inf
Random,10,52,2,0,inf
qLogEI,10,52,2,0,inf
RL,10,52,2,0,inf
Random,10,52,2,1,inf
qLogEI,10,52,2,1,inf
RL,10,52,2,1,inf
Random,10,52,2,2,inf
qLogEI,10,52,2,2,inf
RL,10,52,2,2,inf
Random,10,52,2,3,inf
qLogEI,10,52,2,3,inf
RL,10,52,2,3,inf
Random,10,52,2,4,inf
qLogEI,10,52,2,4,inf
RL,10,52,2,4,inf
Random,10,52,3,0,inf
qLogEI,10,52,3,0,inf
RL,10,52,3,0,inf
Random,10,52,3,1,inf
qLogEI,10,52,3,1,inf
RL,10,52,3,1,inf
Random,10,52,3,2,inf
qLogEI,10,52,3,2,inf
RL,10,52,3,2,inf
Random,10,52,3,3,inf
qLogEI,10,52,3,3,inf
RL,10,52,3,3,inf
Random,10,52,3,4,inf
qLogEI,10,52,3,4,inf
RL,10,52,3,4,inf
Random,10,54,1,0,inf
qLogEI,10,54,1,0,inf
RL,10,54,1,0,inf
Random,10,54,1,1,inf
qLogEI,10,54,1,1,inf
RL,10,54,1,1,inf
Random,10,54,1,2,inf
qLogEI,10,54,1,2,inf
RL,10,54,1,2,inf
Random,10,54,1,3,inf
qLogEI,10,54,1,3,inf
RL,10,54,1,3,inf
Random,10,54,1,4,inf
qLogEI,10,54,1,4,inf
RL,10,54,1,4,inf
Random,10,54,2,0,inf
qLogEI,10,54,2,0,inf
RL,10,54,2,0,inf
Random,10,54,2,1,inf
qLogEI,10,54,2,1,inf
RL,10,54,2,1,inf
Random,10,54,2,2,inf
qLogEI,10,54,2,2,inf
RL,10,54,2,2,inf
Random,10,54,2,3,inf
qLogEI,10,54,2,3,inf
RL,10,54,2,3,inf
Random,10,54,2,4,inf
qLogEI,10,54,2,4,inf
RL,10,54,2,4,inf
Random,10,54,3,0,inf
qLogEI,10,54,3,0,inf
RL,10,54,3,0,inf
Random,10,54,3,1,inf
